,RE,time,energy_dash_10K,target_dash_10K,adoption_10K,energy_dash_30K,target_dash_30K,adoption_30K,energy_dash_100K,target_dash_100K,adoption_100K,energy_10K,target_10K,E_target_10K,p_10K,energy_30K,target_30K,E_target_30K,p_30K,energy_100K,target_100K,E_target_100K,p_100K,RE_0,RE_1
40,False,15.663387060165405,0.016351969266647615,348.9112548828125,False,0.01703003170561246,270.73846435546875,False,0.023620874906296052,248.11834716796875,True,0.004135401273483552,316.1074523925781,325.56794329387384,0.7346706020076342,0.004119188810104646,311.36627197265625,323.9858547303735,0.7346706020076342,0.023620874906296052,248.11834716796875,309.3162912508337,0.7346706020076342,,
41,True,15.666465997695923,,,,,,,,,,0.004119188810104646,311.36627197265625,325.22980826241627,1.0,0.004135401273483552,316.1074523925781,323.79827372233075,1.0,0.023620874906296052,248.11834716796875,307.8591973440988,1.0,False,True
42,False,15.900902509689331,0.018265039945358552,293.05084228515625,False,0.01235798122953824,281.0333557128906,False,0.02248695614408902,295.8878173828125,True,0.004119188810104646,311.36627197265625,324.9074004417242,1.0,0.004135401273483552,316.1074523925781,323.6194174123365,1.0,0.02248695614408902,295.8878173828125,307.5807931589526,1.0,,
43,False,16.070180892944336,0.010141642118210115,378.0359802246094,False,0.012186319852585115,284.60986328125,False,0.017574579740280427,336.6205139160156,True,0.004119188810104646,311.36627197265625,324.59964752197266,1.0,0.004135401273483552,316.1074523925781,323.4486909346147,1.0,0.017574579740280427,336.6205139160156,308.2407868125222,1.0,,
44,False,16.274094104766846,0.017092020536178865,309.85400390625,False,0.007781298185104646,347.4272766113281,False,0.021812708402389802,278.21441650390625,False,0.004119188810104646,311.36627197265625,324.3055725097656,0.611507706163507,0.004135401273483552,316.1074523925781,323.2855523003472,0.611507706163507,0.017574579740280427,336.6205139160156,308.87144741482206,0.611507706163507,,
45,False,16.49272084236145,0.016351969266647615,348.91107177734375,False,0.008933336759323396,336.1454162597656,False,0.016036303067917146,348.2359313964844,True,0.004119188810104646,311.36627197265625,324.02428336765456,1.0,0.004135401273483552,316.1074523925781,323.1295066501783,1.0,0.016036303067917146,348.2359313964844,309.72719706659734,1.0,,
46,False,16.782583236694336,0.018373758817428865,330.0074462890625,False,0.01228168728422574,278.5689697265625,False,0.020703585172409333,299.57244873046875,False,0.004119188810104646,311.36627197265625,323.7549639762716,0.5817989957908591,0.004135401273483552,316.1074523925781,322.98010124044214,0.5817989957908591,0.016036303067917146,348.2359313964844,310.5465318395736,0.5817989957908591,,
47,True,16.78673267364502,,,,,,,,,,0.004135401273483552,316.1074523925781,323.595640818278,0.9875354726375438,0.004119188810104646,311.36627197265625,322.73814646402997,0.9875354726375438,0.016036303067917146,348.2359313964844,311.33172766367596,0.9875354726375438,False,True
48,False,17.091455221176147,0.011964113736862458,378.6747741699219,False,0.017029078031296052,270.73822021484375,False,0.020715982938522615,299.5736083984375,False,0.004135401273483552,316.1074523925781,323.44282064632495,0.5809625401919936,0.004119188810104646,311.36627197265625,322.5060673927774,0.5809625401919936,0.016036303067917146,348.2359313964844,312.0848746786312,0.5809625401919936,,
49,False,17.267727613449097,0.009892733121628083,336.2308349609375,False,0.01580646755766324,266.84100341796875,False,0.018264086271042146,360.9764404296875,True,0.004135401273483552,316.1074523925781,323.29611328125,0.772185476203446,0.004119188810104646,311.36627197265625,322.283271484375,0.772185476203446,0.018264086271042146,360.9764404296875,313.06270599365234,0.772185476203446,,
50,False,17.601837396621704,0.020458490873092927,351.49578857421875,False,0.014385492826217927,267.79669189453125,False,0.020145685697311677,315.3297119140625,True,0.004135401273483552,316.1074523925781,323.155159146178,0.8038388565435743,0.004119188810104646,311.36627197265625,322.06921267041974,0.8038388565435743,0.020145685697311677,315.3297119140625,313.10715709013095,0.8038388565435743,,
51,False,17.963363885879517,0.021466524625534333,356.2652587890625,False,0.00778797390531949,351.459716796875,False,0.01914051296781949,265.3408508300781,True,0.004135401273483552,316.1074523925781,323.0196263239934,1.0,0.004119188810104646,311.36627197265625,321.86338688777045,1.0,0.01914051296781949,265.3408508300781,312.1885742774376,1.0,,
52,False,18.018827438354492,0.011949808622116365,335.2796325683594,False,0.004135401273483552,316.1074523925781,True,0.024303705716842927,255.82809448242188,False,0.004135401273483552,316.1074523925781,322.8892079479289,0.5492619245326361,0.004135401273483552,316.1074523925781,321.7547843501253,0.5492619245326361,0.01914051296781949,265.3408508300781,311.30465496711014,0.5492619245326361,,
53,True,18.021770000457764,,,,,,,,,,0.004135401273483552,316.1074523925781,322.76361988208913,1.0,0.004135401273483552,316.1074523925781,321.6502041286892,1.0,0.01914051296781949,265.3408508300781,310.4534734090169,1.0,False,True
54,False,18.24522876739502,0.016611368680710115,310.6544494628906,False,0.018619806791061677,269.42657470703125,False,0.022850306058639802,246.7454376220703,True,0.004135401273483552,316.1074523925781,322.6425986550071,0.6501739964347153,0.004135401273483552,316.1074523925781,321.54942682439633,0.6501739964347153,0.022850306058639802,246.7454376220703,309.2951454856179,0.6501739964347153,,
55,False,18.575616598129272,0.01762703182768277,350.83251953125,False,0.007560045743698396,341.5789489746094,False,0.02501800777983121,246.38009643554688,True,0.004135401273483552,316.1074523925781,322.5258996146066,0.777588240727692,0.004135401273483552,316.1074523925781,321.4522487095424,0.777588240727692,0.02501800777983121,246.38009643554688,308.1716624668666,0.777588240727692,,
56,False,18.847997188568115,0.009775431180710115,340.2167053222656,False,0.014195711637253083,279.29681396484375,False,0.025608332181686677,294.6287536621094,True,0.004135401273483552,316.1074523925781,322.41329527737804,0.9337877111481682,0.004135401273483552,316.1074523925781,321.3584803531044,0.9337877111481682,0.025608332181686677,294.6287536621094,307.9340675755551,0.9337877111481682,,
57,False,18.958825826644897,0.019530565763229646,331.75274658203125,False,0.012194902921432771,285.8282165527344,False,0.02549579861235074,296.2032165527344,True,0.004135401273483552,316.1074523925781,322.30457384832977,1.0,0.004135401273483552,316.1074523925781,321.2679453882678,1.0,0.02549579861235074,296.2032165527344,307.7318115234375,1.0,,
58,False,19.153419494628906,0.01733997585844449,351.0340576171875,False,0.014704973722214021,274.1365661621094,False,0.01782348873686246,314.25946044921875,True,0.004135401273483552,316.1074523925781,322.1995378914526,1.0,0.004135401273483552,316.1074523925781,321.18047940529,1.0,0.01782348873686246,314.25946044921875,307.84244964082365,1.0,,
59,True,19.157718658447266,,,,,,,,,,0.004135401273483552,316.1074523925781,322.09800313313804,1.0,0.004135401273483552,316.1074523925781,321.09592895507814,1.0,0.01782348873686246,314.25946044921875,307.94939982096355,1.0,False,True
60,False,19.529434204101562,0.017336161161178865,351.0336608886719,False,0.012359888578171052,281.0339050292969,False,0.023549349332565583,296.6005859375,False,0.004135401273483552,316.1074523925781,321.9997973832928,0.5145428115689263,0.004135401273483552,316.1074523925781,321.01415065077487,0.5145428115689263,0.01782348873686246,314.25946044921875,308.0528434378202,0.5145428115689263,,
61,False,19.740840673446655,0.018932611966842927,306.50836181640625,False,0.014703066373581208,274.1365966796875,False,0.023604662442917146,296.6231689453125,False,0.004135401273483552,316.1074523925781,321.9047595608619,0.5112505423506924,0.004135401273483552,316.1074523925781,320.9350103562878,0.5112505423506924,0.01782348873686246,314.25946044921875,308.1529501638105,0.5112505423506924,,
62,False,19.850316524505615,0.016311914945358552,304.6444091796875,False,0.016475946927780427,272.9735107421875,False,0.022689135099167146,256.9095458984375,False,0.004135401273483552,316.1074523925781,321.81273881215895,0.5685590517195857,0.004135401273483552,316.1074523925781,320.8583824521019,0.5685590517195857,0.01782348873686246,314.25946044921875,308.2498788984995,0.5685590517195857,,
63,False,20.064882516860962,0.017987520719284333,314.7553405761719,False,0.009772570157760896,340.2169494628906,False,0.01751068356108121,271.3554992675781,True,0.004135401273483552,316.1074523925781,321.723593711853,1.0,0.004135401273483552,316.1074523925781,320.7841491699219,1.0,0.01751068356108121,271.3554992675781,307.67340421676636,1.0,,
64,False,20.364920139312744,0.015474588895553865,306.88470458984375,False,0.012193949247116365,285.8284912109375,False,0.020758898282760896,256.16119384765625,True,0.004135401273483552,316.1074523925781,321.63719153771035,0.6859504599772349,0.004135401273483552,316.1074523925781,320.712199988732,0.6859504599772349,0.020758898282760896,256.16119384765625,306.8809086726262,0.6859504599772349,,
65,True,20.3680419921875,,,,,,,,,,0.004135401273483552,316.1074523925781,321.55340761126894,1.0,0.004135401273483552,316.1074523925781,320.64243108575994,1.0,0.020758898282760896,256.16119384765625,306.1124281449751,1.0,False,True
66,False,20.47919011116028,0.011964113736862458,378.6747741699219,False,0.018619806791061677,269.42657470703125,False,0.028377802396530427,330.8309631347656,False,0.004135401273483552,316.1074523925781,321.47212469755715,0.41306056848146094,0.004135401273483552,316.1074523925781,320.574744836608,0.41306056848146094,0.020758898282760896,256.16119384765625,305.3668873345674,0.41306056848146094,,
67,False,20.742302894592285,0.015964777494186677,309.5335388183594,False,0.017305643583053865,276.4425964355469,False,0.017153055692428865,312.6529541015625,True,0.004135401273483552,316.1074523925781,321.393232457778,1.0,0.004135401273483552,316.1074523925781,320.5090493594899,1.0,0.017153055692428865,312.6529541015625,305.4740353752585,1.0,,
